strategy,strategy_label,symbol,contribution_interval,start,end,contributed_usd,invested_usd,ending_cash_usd,ending_value_usd,return_pct,deployment_pct,max_drawdown_pct,trade_count
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=20,below_multiplier=2.0,above_multiplier=0.5)",BTC-USD,3d,2023-01-01,2026-04-30,40600.00,40150.00,450.00,60597.46,49.25,98.89,46.00,406
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=50)",BTC-USD,3d,2023-01-01,2026-04-30,40600.00,23800.00,16800.00,53970.34,32.93,58.62,35.27,238
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=50)",BTC-USD,3d,2023-01-01,2026-04-30,40600.00,16800.00,23800.00,48355.55,19.10,41.38,23.76,168
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=50,below_multiplier=2.0,above_multiplier=0.5)",BTC-USD,3d,2023-01-01,2026-04-30,40600.00,40150.00,450.00,60112.77,48.06,98.89,45.82,406
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=100)",BTC-USD,3d,2023-01-01,2026-04-30,40600.00,25500.00,15100.00,55759.11,37.34,62.81,37.81,255
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=100)",BTC-USD,3d,2023-01-01,2026-04-30,40600.00,15100.00,25500.00,46566.78,14.70,37.19,18.94,151
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=100,below_multiplier=2.0,above_multiplier=0.5)",BTC-USD,3d,2023-01-01,2026-04-30,40600.00,40350.00,250.00,58483.89,44.05,99.38,44.99,406
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=200)",BTC-USD,3d,2023-01-01,2026-04-30,40600.00,28600.00,12000.00,56433.65,39.00,70.44,40.53,286
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=200)",BTC-USD,3d,2023-01-01,2026-04-30,40600.00,12000.00,28600.00,45892.24,13.04,29.56,13.11,120
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=200,below_multiplier=2.0,above_multiplier=0.5)",BTC-USD,3d,2023-01-01,2026-04-30,40600.00,37900.00,2700.00,57701.12,42.12,93.35,41.40,406
weekly_drawdown_scaled_dca,"weekly_drawdown_scaled_dca(weekly_amount_usd=100,lookback_days=90,mild_drawdown_pct=0.10,deep_drawdown_pct=0.20)",BTC-USD,3d,2023-01-01,2026-04-30,40600.00,40500.00,100.00,58840.54,44.93,99.75,43.54,406
weekly_fixed_dca,weekly_fixed_dca(weekly_amount_usd=100),BTC-USD,5d,2023-01-01,2026-04-30,24400.00,24400.00,0.00,37145.71,52.24,100.00,43.39,244
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=20)",BTC-USD,5d,2023-01-01,2026-04-30,24400.00,13300.00,11100.00,32009.80,31.19,54.51,30.54,133
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=20)",BTC-USD,5d,2023-01-01,2026-04-30,24400.00,11100.00,13300.00,29535.92,21.05,45.49,24.08,111
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=20,below_multiplier=2.0,above_multiplier=0.5)",BTC-USD,5d,2023-01-01,2026-04-30,24400.00,24100.00,300.00,36334.40,48.91,98.77,43.27,244
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=50)",BTC-USD,5d,2023-01-01,2026-04-30,24400.00,14200.00,10200.00,32252.24,32.18,58.20,32.31,142
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=50)",BTC-USD,5d,2023-01-01,2026-04-30,24400.00,10200.00,14200.00,29293.48,20.06,41.80,21.66,102
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=50,below_multiplier=2.0,above_multiplier=0.5)",BTC-USD,5d,2023-01-01,2026-04-30,24400.00,24100.00,300.00,36190.32,48.32,98.77,43.06,244
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=100)",BTC-USD,5d,2023-01-01,2026-04-30,24400.00,15400.00,9000.00,33684.22,38.05,63.11,35.28,154
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=100)",BTC-USD,5d,2023-01-01,2026-04-30,24400.00,9000.00,15400.00,27861.49,14.19,36.89,16.00,90
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=100,below_multiplier=2.0,above_multiplier=0.5)",BTC-USD,5d,2023-01-01,2026-04-30,24400.00,24250.00,150.00,35128.56,43.97,99.39,42.17,244
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=200)",BTC-USD,5d,2023-01-01,2026-04-30,24400.00,16900.00,7500.00,33898.74,38.93,69.26,37.49,169
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=200)",BTC-USD,5d,2023-01-01,2026-04-30,24400.00,7500.00,16900.00,27646.97,13.31,30.74,11.46,75
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=200,below_multiplier=2.0,above_multiplier=0.5)",BTC-USD,5d,2023-01-01,2026-04-30,24400.00,23150.00,1250.00,34608.49,41.84,94.88,39.08,244
weekly_drawdown_scaled_dca,"weekly_drawdown_scaled_dca(weekly_amount_usd=100,lookback_days=90,mild_drawdown_pct=0.10,deep_drawdown_pct=0.20)",BTC-USD,5d,2023-01-01,2026-04-30,24400.00,24350.00,50.00,36015.90,47.61,99.80,41.07,244
weekly_fixed_dca,weekly_fixed_dca(weekly_amount_usd=100),ETH-USD,1d,2020-01-01,2026-04-30,231200.00,231200.00,0.00,528054.73,128.40,100.00,78.32,2312
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=20)",ETH-USD,1d,2020-01-01,2026-04-30,231200.00,118400.00,112800.00,396971.92,71.70,51.21,71.70,1184
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=20)",ETH-USD,1d,2020-01-01,2026-04-30,231200.00,110900.00,120300.00,334921.23,44.86,47.97,63.22,1109
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=20,below_multiplier=2.0,above_multiplier=0.5)",ETH-USD,1d,2020-01-01,2026-04-30,231200.00,230500.00,700.00,511367.22,121.18,99.70,78.23,2312
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=50)",ETH-USD,1d,2020-01-01,2026-04-30,231200.00,122000.00,109200.00,379352.99,64.08,52.77,71.48,1220
